ref_area,sex,age_bracket,population,total_inactive_population,total_unemployed_population,total_employed_population,Total_empl0yed_IT_sector_agesex
GHA,SEX_M, 15-24,3211620.0,891931,120628,2199060,7198
GHA,SEX_M, 15-24,3211620.0,1802939,235540,1173140,637
GHA,SEX_M, 25-35,2741592.8,415652,80410,2245528,8913
GHA,SEX_F, 15-24,3084640.0,1077403,126470,1880766,1122
GHA,SEX_F, 15-24,3084640.0,1870556,219811,994272,1163
GHA,SEX_F, 25-35,2712529.344,654180,93311,1965037,22
GHA,SEX_M, 15-24,3150580.0,868173,116539,2165866,7739
GHA,SEX_M, 15-24,3150580.0,1763537,225991,1161051,979
GHA,SEX_M, 25-35,2678484.16,399522,77676,2201285,9398
GHA,SEX_F, 15-24,3024860.0,1049717,122446,1852696,1198
GHA,SEX_F, 15-24,3024860.0,1826712,214674,983472,1200
GHA,SEX_F, 25-35,2663120.576,636592,90040,1936488,989
GHA,SEX_M, 15-24,3089540.0,856389,115826,2117323,8201
GHA,SEX_M, 15-24,3089540.0,1740863,220963,1127712,1289
GHA,SEX_M, 25-35,2615375.52,392280,77755,2145340,9803
GHA,SEX_F, 15-24,2965080.0,1035524,121686,1807868,1259
GHA,SEX_F, 15-24,2965080.0,1791530,212536,961012,1220
GHA,SEX_F, 25-35,2613711.808,633093,89702,1890915,1061
GHA,SEX_M, 15-24,3028500.0,843588,112599,2072311,8648
GHA,SEX_M, 15-24,3028500.0,1711193,222231,1095075,1580
GHA,SEX_M, 25-35,2552266.88,386489,73888,2091888,10186
GHA,SEX_F, 15-24,2905300.0,1025774,111418,1768107,1320
GHA,SEX_F, 15-24,2905300.0,1766741,213365,925192,1221
GHA,SEX_F, 25-35,2564303.04,631382,78749,1854170,1133
GHA,SEX_M, 15-24,2978120.0,808916,99558,2069644,13811
GHA,SEX_M, 15-24,2978120.0,1658425,198849,1120845,4419
GHA,SEX_M, 25-35,2488145.6,360482,64069,2063593,15207
GHA,SEX_F, 15-24,2857120.0,991049,102684,1763385,1493
GHA,SEX_F, 15-24,2857120.0,1714986,181941,960192,1363
GHA,SEX_F, 25-35,2521791.04,606818,75199,1839772,1308
GHA,SEX_M, 15-24,2927740.0,789465,97025,2041249,12397
GHA,SEX_M, 15-24,2927740.0,1616200,193318,1118221,3738
GHA,SEX_M, 25-35,2424024.32,347871,61715,2014436,13636
GHA,SEX_F, 15-24,2808940.0,1679914,176373,952652,1295
GHA,SEX_F, 25-35,2479279.04,600183,73064,1806030,1176
KEN,SEX_M, 15-24,5924360.0,1418291,307118,4198949,6462
KEN,SEX_M, 15-24,5924360.0,3390392,735627,1798339,1948
KEN,SEX_M, 25-35,4810244.672,320699,166674,4322870,7040
KEN,SEX_F, 15-24,5876080.0,1600585,339049,3936444,2623
KEN,SEX_F, 15-24,5876080.0,3419643,841513,1614923,3678
KEN,SEX_F, 25-35,4846339.104,562514,180623,4103201,1503
KEN,SEX_M, 15-24,5784740.0,1384982,301327,4098430,6307
KEN,SEX_M, 15-24,5784740.0,3317490,715572,1751677,1897
KEN,SEX_M, 25-35,4704539.008,315110,165552,4223876,6879
KEN,SEX_F, 15-24,5740420.0,1565814,332886,3841718,2560
KEN,SEX_F, 15-24,5740420.0,3336676,822716,1581026,3601
KEN,SEX_F, 25-35,4739996.736,553726,177939,4008330,1468
KEN,SEX_M, 15-24,5645120.0,1375828,301957,3967333,7692
KEN,SEX_M, 15-24,5645120.0,3276201,704172,1664745,2469
KEN,SEX_M, 25-35,4598833.344,326425,170018,4102389,8322
KEN,SEX_F, 15-24,5604760.0,1561654,333146,3709958,2483
KEN,SEX_F, 15-24,5604760.0,3272899,810616,1521243,3469
KEN,SEX_F, 25-35,4633654.368,576241,180666,3876746,1431
KEN,SEX_M, 15-24,5505500.0,1365804,300159,3839535,8980
KEN,SEX_M, 15-24,5505500.0,3189336,708723,1607440,3027
KEN,SEX_M, 25-35,4493127.68,354193,167189,3971745,9646
KEN,SEX_F, 15-24,5469100.0,1568866,316332,3583901,2409
KEN,SEX_F, 15-24,5469100.0,3197017,808059,1464023,3343
KEN,SEX_F, 25-35,4527312.0,617253,162847,3747210,1395
KEN,SEX_M, 15-24,5358200.0,1290629,255746,3811823,21494
KEN,SEX_M, 15-24,5358200.0,3083108,625569,1649521,8549
KEN,SEX_M, 25-35,4411507.328,310217,139668,3961621,22695
KEN,SEX_F, 15-24,5323820.0,1490776,279607,3553436,5587
KEN,SEX_F, 15-24,5323820.0,3090104,701413,1532301,4878
KEN,SEX_F, 25-35,4446264.128,568588,147704,3729970,4745
KEN,SEX_M, 15-24,5210900.0,1226854,209947,3774098,14111
KEN,SEX_M, 15-24,5210900.0,2925503,530938,1754457,5760
KEN,SEX_M, 25-35,4329886.976,297723,110238,3921925,15016
KEN,SEX_F, 15-24,5178540.0,1460348,231428,3486762,4087
KEN,SEX_F, 15-24,5178540.0,2975744,579582,1623213,4518
KEN,SEX_F, 25-35,4365216.256,582319,121920,3660975,3193
RWA,SEX_M, 15-24,1392440.0,797297,222971,372171,11
